seed,alpha,method,coverage_overall,miscoverage,miscov_a0,miscov_a1,avg_utility,avg_maxmin,report_avg_maxmin,decision_avg_utility,set_size_mean,fdr_overall,action0_frequency,action1_frequency,rating1_recommend_rate,rating2_recommend_rate
0,0.2,RAC,0.791,0.20899999999999996,0.0,0.2826233941852603,0.5849,1.3047,0.5652,0.5849,2.9558,0.71005,0.2605,0.7395,0.45977011494252873,0.4856418918918919
0,0.2,Score-1,0.7937,0.20630000000000004,0.20850439882697946,0.20157232704402517,0.3777,0.3367,0.3367,0.3777,2.2701,0.6342583333333333,0.682,0.318,0.06732348111658457,0.10219594594594594
0,0.2,Score-2,0.7921,0.20789999999999997,0.21582834053225586,0.18774353524619203,0.3448,0.2973,0.2973,0.3448,2.2381,0.6319083333333334,0.7177,0.2823,0.07389162561576355,0.09121621621621621
0,0.25,AC-RAC,0.742,0.258,0.24193548387096775,0.25894937513238725,0.5724,1.286472,0.3386,0.574326,2.6356,0.718925,0.0558,0.9442,0.7471264367816092,0.847972972972973
0,0.25,Best Response,,,,,0.6113,,,,,,0.1706,0.8294,0.41707717569786534,0.6038851351351351
0,0.25,RAC,0.7392,0.26080000000000003,0.0,0.32090562323120464,0.5904,1.4791,0.6664,0.5904,2.7082,0.7096399999999999,0.1873,0.8127,0.5615763546798029,0.6021959459459459
0,0.25,Score-1,0.7452,0.2548,0.26390664961636834,0.23958333333333337,0.4196,0.4135,0.4135,0.4196,2.0327,0.6174,0.6256,0.3744,0.09359605911330049,0.14780405405405406
0,0.25,Score-2,0.7394,0.26060000000000005,0.2675968020065841,0.2482739574703121,0.403,0.3887,0.3887,0.403,2.0066,0.6188833333333333,0.6379,0.3621,0.12151067323481117,0.14780405405405406
1,0.005,AC-RAC,0.99,0.010000000000000009,0.0038133977373839834,0.03281762775433661,0.2654,0.1421395,-0.0236,0.254888,4.4796,0.7692233333333333,0.7867,0.2133,0.02157164869029276,0.051826677994902294
1,0.005,Best Response,,,,,0.59,,,,,,0.2197,0.7803,0.32819722650231126,0.5182667799490229
1,0.005,RAC,0.9949,0.005099999999999993,0.0,0.03420523138832998,0.1999,0.1555,0.0064,0.1999,4.6954,0.7808199999999998,0.8509,0.1491,0.01694915254237288,0.03143585386576041
1,0.005,Score-1,0.9961,0.0039000000000000146,0.0039011703511053764,0.0,0.0006,0.0003,0.0003,0.0006,4.4529,0.7714383333333333,0.9997,0.0003,0.0,0.0
1,0.005,Score-2,0.996,0.0040000000000000036,0.00400160064025612,0.0,0.0008,0.0004,0.0004,0.0008,4.4454,0.7708116666666666,0.9996,0.0004,0.0,0.0
1,0.01,AC-RAC,0.9845,0.015499999999999958,0.010360655737704949,0.03200000000000003,0.2888,0.1606365,-0.0368,0.279341,4.3656,0.7637716666666666,0.7625,0.2375,0.02157164869029276,0.06032285471537808
1,0.01,Best Response,,,,,0.59,,,,,,0.2197,0.7803,0.32819722650231126,0.5182667799490229
